Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
13642,90,Electric Utility,5.2,5.2,5.2,Petroleum Liquids,11,2007, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,5.2,5.2,5.2,Petroleum Liquids,11,2007, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,0.4,0.4,0.4,Petroleum Liquids,1,2013, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,0.8,0.8,0.8,Onshore Wind Turbine,1,2015, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,0.9,0.9,0.9,Onshore Wind Turbine,7,2013, , ,OP,64.505331,-165.429800
13642,90,Electric Utility,0.9,0.9,0.9,Onshore Wind Turbine,7,2013, , ,OP,64.505331,-165.429800
14856,91,Electric Utility,1.6,1.6,1.6,Conventional Hydroelectric,3,1954, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,2.6,1.7,1.7,Petroleum Liquids,12,1972, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,1.2,1.0,1.0,Petroleum Liquids,10,1965, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,0.6,0.6,0.6,Petroleum Liquids,3,1979, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,0.8,0.7,0.7,Petroleum Liquids,3,1979, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,2.6,2.3,2.3,Petroleum Liquids,9,1993, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,2.6,2.3,2.3,Petroleum Liquids,8,2001, , ,OP,56.811040,-132.957100
14856,91,Electric Utility,2.5,2.2,2.2,Petroleum Liquids,10,2012, , ,OP,56.811040,-132.957100
16955,92,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,4,1975, , ,OP,60.130922,-149.435000
16955,92,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,3,1986, , ,OP,60.130922,-149.435000
16955,92,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,3,1985, , ,OP,60.130922,-149.435000
16955,92,Electric Utility,2.8,2.8,2.8,Petroleum Liquids,12,2000, , ,OP,60.130922,-149.435000
16955,92,Electric Utility,2.8,2.8,2.8,Petroleum Liquids,7,2010, , ,OP,60.130922,-149.435000
16955,92,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,7,2010, , ,OP,60.130922,-149.435000
17271,93,Electric Utility,5.3,5.3,5.3,Conventional Hydroelectric,10,2014, , ,OP,57.051600,-135.229700
17271,93,Electric Utility,5.3,5.3,5.3,Conventional Hydroelectric,10,2014, , ,OP,57.051600,-135.229700
17271,93,Electric Utility,5.3,5.3,5.3,Conventional Hydroelectric,10,2014, , ,OP,57.051600,-135.229700
21015,95,Electric Utility,2.0,2.0,2.0,Petroleum Liquids,9,2000, , ,OP,56.460976,-132.379400
